
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
Armidale 2022 Koala Drone Surveys	SPJGI8177575	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					24/08/2022 23:37:00	24/08/2022 23:37:00	1		4	DR	Valid and accepted without modification		LPJGI1038054	No description provided	-30.330201000	151.648495000	56	370078	6643851	20.0000			
AWC-NSW Parks Partnership Projects	SPJGI6531090	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					25/04/2020 05:39:31	25/04/2020 05:39:31	1	X	4	Q	Valid and accepted without modification		LPJGI0588585	Pilliga	-30.635080000	149.232401000	55	713952	6608715	100.0000	Location: Road, Unfenced	RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6531091	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					25/04/2020 05:39:32	25/04/2020 05:39:32	1	X	4	Q	Valid and accepted without modification		LPJGI0588585	Pilliga	-30.635080000	149.232401000	55	713952	6608715	100.0000	Location: Road, Unfenced	RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6531092	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					25/04/2020 05:39:32	25/04/2020 05:39:32	1	X	4	Q	Valid and accepted without modification		LPJGI0588585	Pilliga	-30.635080000	149.232401000	55	713952	6608715	100.0000	Location: Road, Unfenced	RoadCam	
Data Priorities Fauna Survey	SBDH1103093G	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					18/12/2010 22:30:00	18/12/2010 23:35:00	1	E	4	W	Valid and accepted without modification		LBDH11030902	Gardens of Stone NP- Hughes Defile Trip- Slightly to the North of the catchment divided in Hughes Defile	-33.216237778	150.131107682	56	232611	6321071	10.0000		T1: E. piperita & E. cypellocarpa & E. blaxlandii & E. fastigata ?; T2: Euc regen & Acacia & persoonia; Shrub: Banksia & Leucopogon  North facing gully dropping steeply from ridge crest lined by cliffs on either side. Ground cover mostly litter with Pteridium & Clematis	
Data Priorities Fauna Survey	SHXA0405281K	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					06/05/2004 17:40:00	06/05/2004 18:45:00	3		4	W	Accepted as valid from quarantine	ACD,	LKEM04052804	Blue Mountains - Kanangra Area. Site is just south of Johhny Barnes Flat - Three Gully (MAR23O) Specified Map No: 8829-1-S Specified Reserve: Blue Mountains NP	-34.178975070	149.920332969	55	769163	6214144	10.0000		Site is predominantly compised of gum and peeling bark eucalypts in canopy perhaps E. viminalis. E. haemostoma also present but those by creekside unknown. Lots of eucalypts in flower.	
Data Priorities Fauna Survey	SKEM0405280C	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					05/05/2004 01:32:00	05/05/2004 02:37:00	5		4	W	Accepted as valid from quarantine	ACD,	LSQR0402020H	Blue Mtns Kanangra- Jerrong road. Approximately 500m south-west of centre of Rotten swamp (BMK16) Specified Map No: 8829-1-S Specified Reserve: Blue Mountains NP	-34.184325369	149.882422811	55	765651	6213650	100.0000	A group of 5-10 individuals heard howling to the north/northwest of the site about 300-400m away during the barking owl final listening period.		
Data Priorities Fauna Survey	SKEM0405312H	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					06/05/2004 07:00:00	06/05/2004 07:00:00	1		4	W	Accepted as valid from quarantine	ACD,	LKEM0405310S	Blue Mountains NP - Kanangra area - opportunistic offsite location - Abercrombie River hut campsite - Speary Creek Specified Reserve: Blue Mountains NP	-34.165337987	149.941768534	55	771183	6215600	10.0000			
Data Priorities Fauna Survey	SKEM04060317	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					19/05/2004 20:52:00	19/05/2004 21:57:00	1		4	W	Valid and accepted without modification		LKEM04060202	Nattai NP - north of High Range on Jocks Creek approximately 100m from private property boundary (OWL3) Specified Map No: 8929-2-N Specified Reserve: Nattai NP	-34.355607459	150.342723695	56	255602	6195214	10.0000	Call came from over 500m to the south. Also called during the powerful owl playback call.	On edge of private property so cleared. Sparse ground cover.T1 - forest red gum & stringybark. T2 - forest red gum & paperbark. S1 paperbark. S2 -lomandra	
Data Priorities Fauna Survey	SLTM08021433	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					21/11/2007 07:45:00	21/11/2007 07:45:00	1		4	W	Valid and accepted without modification		LLTM0802120E	Southeastern Wollemi NP - Angorawa Creek - Angorawa Creek Track near new Yard Creek approx. 2km West of Putty Road. Specified Map No: 9031-3-N Specified Reserve: Wollemi NP	-33.317793854	150.682714095	56	284285	6311085	10.0000	by magarey. - dingo like howling from southwest	Dominant at ground layer - Hummock Grass  T1- Euc. pipperita/Mahogany notabilis/  S1- Banksia serrata/Allocasuarina torulosa/  S2- Bursaria/Lomatia silaifolia/Acacia/	
Data Priorities Fauna Survey	SLTM08021518	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					21/11/2007 09:20:00	21/11/2007 09:20:00	1		4	W	Valid and accepted without modification		LLTM0802150Q	Southeastern Wollemi NP - Angorawa Creek - Angorawa Specified Map No: 9031-3-N Specified Reserve: Wollemi NP	-33.261376116	150.633975478	56	279605	6317240	10.0000	Howling		
Data Priorities Fauna Survey	SLTM0903129O	1904	Fauna	Mammalia	Canidae	4152	Canis lupus dingo	*	Dingo					18/02/2009 21:55:00	18/02/2009 22:10:00	1		4	W	Valid and accepted without modification		LLTM0903060E	South Western Wollemi NP - Glow Worm Tunnel Survey - Glow Worm Tunnel Road - 1.6km South of Old Coach Road Junction. Specified Map No: 8931-3-N Specified Reserve: Wollemi NP	-33.294478917	150.235053525	56	242532	6312654	4.0000	1km to the east - Howling - before survey time	Photo no. 611/612 DECC/  On plateau. Woodland dominated by Scribbly Gum/Stringybark sp. and E. piperita. Low shrublayer dominated by Leptospermum. Ground dominated by Herb/Grass.  T1- Scribbly Gum/Stringybark/E. piperita/ T2- Scribbly Gum/Stringybark/E. piperita/ S1- Leptospermum sp./Eucalypt saplings/Acacia sp./Others/	
