
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
AWC-NSW Parks Partnership Projects	SPJGI6282840	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					19/11/2016 00:58:54	19/11/2016 00:58:54	1		4	Q	Valid and accepted without modification		LPJGI0588390	Mallee Cliffs	-34.260905000	142.729660200	54	659249	6207561	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282964	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					20/11/2016 02:27:26	20/11/2016 02:27:26	1		4	Q	Valid and accepted without modification		LPJGI0588483	Mallee Cliffs	-34.258853300	142.685906400	54	655224	6207856	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6282965	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					20/11/2016 02:27:28	20/11/2016 02:27:28	1		4	Q	Valid and accepted without modification		LPJGI0588483	Mallee Cliffs	-34.258853300	142.685906400	54	655224	6207856	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285470	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					23/03/2017 04:40:52	23/03/2017 04:40:52	1		4	Q	Valid and accepted without modification		LPJGI0588390	Mallee Cliffs	-34.260905000	142.729660200	54	659249	6207561	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285471	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					23/03/2017 04:40:54	23/03/2017 04:40:54	1		4	Q	Valid and accepted without modification		LPJGI0588390	Mallee Cliffs	-34.260905000	142.729660200	54	659249	6207561	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285472	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					23/03/2017 04:40:56	23/03/2017 04:40:56	1		4	Q	Valid and accepted without modification		LPJGI0588390	Mallee Cliffs	-34.260905000	142.729660200	54	659249	6207561	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285845	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					28/03/2017 01:17:06	28/03/2017 01:17:06	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285846	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					28/03/2017 01:17:08	28/03/2017 01:17:08	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6285847	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					28/03/2017 01:17:10	28/03/2017 01:17:10	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6286539	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					29/10/2017 00:47:26	29/10/2017 00:47:26	1		4	Q	Valid and accepted without modification		LPJGI0588370	Mallee Cliffs	-34.277096690	142.786438700	54	664446	6205675	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6286667	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					29/10/2017 19:24:48	29/10/2017 19:24:48	1		4	Q	Valid and accepted without modification		LPJGI0588365	Mallee Cliffs	-34.280746420	142.801882400	54	665861	6205245	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6286668	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					29/10/2017 19:24:50	29/10/2017 19:24:50	1		4	Q	Valid and accepted without modification		LPJGI0588365	Mallee Cliffs	-34.280746420	142.801882400	54	665861	6205245	100.0000		RoadCam	
AWC-NSW Parks Partnership Projects	SPJGI6286669	1929	Fauna	Mammalia	Leporidae	4157	Lepus capensis occidentalis	*	Brown Hare					29/10/2017 19:24:50	29/10/2017 19:24:50	1		4	Q	Valid and accepted without modification		LPJGI0588365	Mallee Cliffs	-34.280746420	142.801882400	54	665861	6205245	100.0000		RoadCam	
