
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
DPIE Data from Scientific Licences dataset	SDMPI0661391	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				26/04/2016	29/04/2016	1	+	4	OW	Valid and accepted without modification		LDMPI0142252	Pottsville Environment Park, Lot 4 DP 1062338	-28.381663732	153.564696249	56	555326	6860388	500.0000			
DPIE Data from Scientific Licences dataset	SIXRI0119913	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				08/11/2013	10/11/2013			4	T	Valid and accepted without modification		LIXRI0023654	Montefiore Street, Catherine Hill Bay NSW	-33.159746005	151.611401026	56	370512	6330145	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560463	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				24/11/2012	24/11/2012	1		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560473	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				25/11/2012	25/11/2012	2		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560492	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				26/11/2012	26/11/2012	3		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560503	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				27/11/2012	27/11/2012	4		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560769	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				24/04/2013	24/04/2013	1		4	O	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560784	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				25/04/2013	25/04/2013	8		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560813	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				26/04/2013	26/04/2013	8		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560850	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				27/04/2013	27/04/2013	7		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0560895	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				28/04/2013	28/04/2013	5		4	T	Valid and accepted without modification		LIXRI0026629	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0561124	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				06/10/2013	06/10/2013	4		4	T	Valid and accepted without modification		LIXRI0026706	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0561149	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				07/10/2013	07/10/2013	3		4	T	Valid and accepted without modification		LIXRI0026706	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0561164	1500	Fauna	Mammalia	Muridae	4037	Melomys burtoni		Grassland Melomys	P				08/10/2013	08/10/2013	5		4	T	Valid and accepted without modification		LIXRI0026706	Minyumai Indigenous Protected Area, Tabbimoble	-29.177437251	153.369872592	56	535964	6772299	100.0000			
