
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
Blue Mountains SoS Surveys	SMXJ21032300	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	26/08/2020 20:23:00	26/08/2020 20:43:00	1	X	4	T	Valid and accepted without modification		LMXJ21032301	Cottage 6 to Devil's Coach House	-33.817422611	150.022876256	56	224435	6254101	300.0000	Todd. 8.1kg. Very good condition. 	Cottage 6 to Devils Coach House. Traps 27 to 39. CP-1, CP-2, 3B (below Cottage 6), DC-1, DC-2, McK-1.	
Blue Mountains SoS Surveys	SMXJ21032301	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	27/08/2020 20:00:00	27/08/2020 20:00:00	1	X	4	T	Valid and accepted without modification		LMXJ21032301	Cottage 6 to Devil's Coach House	-33.817422611	150.022876256	56	224435	6254101	300.0000	Tauringa. 6.2kg. Unfurred PY. Good condition. 	Cottage 6 to Devils Coach House. Traps 27 to 39. CP-1, CP-2, 3B (below Cottage 6), DC-1, DC-2, McK-1.	
Blue Mountains SoS Surveys	SMXJ2103230B	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	28/08/2020 08:00:00	28/08/2020 08:00:00	1	X	4	T	Valid and accepted without modification		LMXJ21032301	Cottage 6 to Devil's Coach House	-33.817422611	150.022876256	56	224435	6254101	300.0000	Toshie. 3.55kg. Fair condition. Pouch empty. 	Cottage 6 to Devils Coach House. Traps 27 to 39. CP-1, CP-2, 3B (below Cottage 6), DC-1, DC-2, McK-1.	
Blue Mountains SoS Surveys	SMXJ2103230E	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	26/08/2020 16:00:00	28/08/2020 12:00:00	1	X	4	T	Valid and accepted without modification		LMXJ21032301	Cottage 6 to Devil's Coach House	-33.817422611	150.022876256	56	224435	6254101	300.0000	Tywyn. 6.56kg. Good condition. 	Cottage 6 to Devils Coach House. Traps 27 to 39. CP-1, CP-2, 3B (below Cottage 6), DC-1, DC-2, McK-1.	
DPIE Data from Scientific Licences dataset	SDMPI1010736	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	24/02/2021	24/02/2021			4	O	Valid and accepted without modification		LDMPI0195837	Upper Mongogarie	-28.965730000	152.789590000	56	479499	6795793	10.0000			
DPIE Data from Scientific Licences dataset	SDMPI1010892	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	25/02/2021	25/02/2021			4	Q	Valid and accepted without modification		LDMPI0195841	Upper Mongogarie	-28.965850000	152.790330000	56	479571	6795780	10.0000			
DPIE Data from Scientific Licences dataset	SDMPI1010893	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	25/02/2021	25/02/2021			4	Q	Valid and accepted without modification		LDMPI0195845	Upper Mongogarie	-28.963600000	152.778320000	56	478401	6796027	10.0000			
DPIE Data from Scientific Licences dataset	SDMPI1010894	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	25/02/2021	25/02/2021			4	Q	Valid and accepted without modification		LDMPI0195846	Upper Mongogarie	-28.963020000	152.780300000	56	478594	6796092	10.0000			
DPIE Data from Scientific Licences dataset	SIXRI0002108	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	10/06/2012	10/06/2012	1		4	P	Valid and accepted without modification		LIXRI0000564	Hillside of sandstone overhangs above unnamed creek southeast of seven sisters rocks, Savage Ridge Wollemi	-33.289181070	150.549818794	56	271836	6313975	20.0000			
DPIE Data from Scientific Licences dataset	SIXRI0075040	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	07/10/2012	13/10/2012	3	>	4	O	Valid and accepted without modification		LIXRI0013648	Lot 117 Clearview Rd, Blaxlands Creek	-29.898630000	152.843744000	56	484914	6692437	100.0000			
DPIE Data from Scientific Licences dataset	SIXRI0096088	1215	Fauna	Mammalia	Macropodidae	3887	Petrogale penicillata		Brush-tailed Rock-wallaby	E1,P	V		10605	17/05/2013	31/05/2013	1		4	P	Valid and accepted without modification		LIXRI0019050	Shannon Creek Water Storage Facility and surround	-29.831150871	152.797165206	56	480404	6699907	5.0000			
