
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
Bimberamala NP fauna survey	SIEM1309250X	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	05/03/2013 20:42:00	05/03/2013 20:57:00	1	X	4	O	Valid and accepted without modification		LIEM13092503	From 100m west of intersection Wallaby Rd & Western Link FT west & south along Wallaby Rd	-35.517738106	150.075835151	56	234819	6065606	20.0000	50m south 234743 6065619		
Bimberamala NP fauna survey	SPXC1308070E	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	07/03/2013 19:30:00	07/03/2013 20:30:00	2	X	4	O	Valid and accepted without modification		LPXC13080705	Mines Road, north-western side of road between Bimberamala River Rd and Mines Rd South	-35.521578125	150.103852294	56	237373	6065255	20.0000	two dark morph animals in Euc obliqua with 'top out'		
Blue Mountains Fauna Surveys	SPJG21110500	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 20:38:46	03/11/2021 20:38:46	3	X	4	O	Valid and accepted without modification		LPJG21110502	Megalong Reserve	-33.702990000	150.250750000	56	245195	6267381	10.0000	3 black individuals, 2 together on left of track, third on right of track		
Blue Mountains Fauna Surveys	SPJG21110501	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 20:49:34	03/11/2021 20:49:34	1	X	4	E	Valid and accepted without modification		LPJG21110503	Megalong Reserve	-33.702710000	150.250030000	56	245127	6267411	10.0000	Black individual poking head out of den in stringybark		
Blue Mountains Fauna Surveys	SPJG21110502	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 21:21:10	03/11/2021 21:21:10	1	X	4	O	Valid and accepted without modification		LPJG21110504	Megalong Reserve	-33.704530000	150.250060000	56	245135	6267209	10.0000	Black individual		
Blue Mountains Fauna Surveys	SPJG21110503	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 21:35:13	03/11/2021 21:35:13	1	X	4	O	Valid and accepted without modification		LPJG21110505	Megalong Reserve	-33.706170000	150.249500000	56	245088	6267026	10.0000	Black individual in stringybark		
Blue Mountains Fauna Surveys	SPJG21110504	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 21:47:35	03/11/2021 21:47:35	1	X	4	O	Valid and accepted without modification		LPJG21110506	Megalong Reserve	-33.707310000	150.249600000	56	245101	6266899	10.0000	Black individual in Scribbly gum		
Blue Mountains Fauna Surveys	SPJG21110505	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 22:26:13	03/11/2021 22:26:13	1	X	4	O	Valid and accepted without modification		LPJG21110507	Megalong Reserve	-33.705610000	150.252230000	56	245340	6267094	10.0000	White individual in brittle gum		
Blue Mountains Fauna Surveys	SPJG21110507	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/11/2021 23:00:41	03/11/2021 23:00:41	1	X	4	O	Valid and accepted without modification		LPJG21110509	Megalong Reserve	-33.704550000	150.253880000	56	245489	6267216	10.0000	Black individual		
DPIE Data from Scientific Licences dataset	SCAMI0012328	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	12/01/2013	12/01/2013	1		4	O	Valid and accepted without modification		LCAMI0003117	Kempfield	-33.812553114	149.264879897	55	709636	6256321	30.0000	Smooth-barked Tree, Spotlight		
DPIE Data from Scientific Licences dataset	SCAMI0012753	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	02/04/2012	02/04/2012	1		4	O	Valid and accepted without modification		LCAMI0003240	Newnes	-33.430148865	150.195234529	56	239228	6297507	30.0000	Spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0012754	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	02/04/2012	02/04/2012	1		4	O	Valid and accepted without modification		LCAMI0003241	Newnes	-33.417618976	150.193713372	56	239049	6298893	30.0000	Spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0012828	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/04/2012	03/04/2012	1		4	O	Valid and accepted without modification		LCAMI0003258	Newnes	-33.395334264	150.194580841	56	239063	6301367	30.0000	Spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0012829	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/04/2012	03/04/2012	2		4	O	Valid and accepted without modification		LCAMI0003259	Newnes	-33.385872386	150.198764595	56	239424	6302427	30.0000	Spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0012830	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	03/04/2012	03/04/2012	1		4	O	Valid and accepted without modification		LCAMI0003260	Newnes	-33.390252884	150.217539299	56	241184	6301988	30.0000	Spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0013431	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	12/05/2012	12/05/2012	2		4	O	Valid and accepted without modification		LCAMI0003380	Newnes	-33.430600769	150.195284495	56	239234	6297457	30.0000	Rough Bark Tree, spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0013432	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	12/05/2012	12/05/2012	1		4	O	Valid and accepted without modification		LCAMI0003381	Newnes	-33.443063802	150.181935617	56	238030	6296041	30.0000	Rough Bark Tree, spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0013564	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	14/05/2012	14/05/2012	1		4	O	Valid and accepted without modification		LCAMI0003399	Newnes	-33.394319063	150.228415477	56	242208	6301564	30.0000	Rough Bark Tree, spotlight used		
DPIE Data from Scientific Licences dataset	SCAMI0013908	1133	Fauna	Mammalia	Pseudocheiridae	3770	Petauroides volans		Southern Greater Glider	E1,P	E		20306	21/05/2012	21/05/2012	1		4	O	Valid and accepted without modification		LCAMI0003473	Newnes	-33.403551298	150.220372088	56	241487	6300520	30.0000	Smooth Bark Tree, spotlight used		
