
DatasetName	SightingKey	SpeciesCode	KingdomName	ClassName	FamilyName	SortOrder	ScientificName	Exotic	CommonName	NSWStatus	CommStatus	SensitivityClass	ProfileID	DateFirst	DateLast	NumberIndividuals	EstimateTypeCode	SourceCode	ObservationType	Status	ValidationFlags	LocationKey	Description	Latitude_GDA94	Longitude_GDA94	Zone	Easting	Northing	Accuracy	SightingNotes	LocationNotes	
AWC-NSW Parks Partnership Projects	SPJGI6295831	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					21/03/2017	21/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588364	Mallee Cliffs	-34.203140000	142.439116000	54	632587	6214384	100.0000	Weight: 13g. Comment: (Testes not enlarged)	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295834	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					21/03/2017	21/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588364	Mallee Cliffs	-34.203140000	142.439116000	54	632587	6214384	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295857	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					21/03/2017 09:20:00	21/03/2017 09:20:00	1		4	T	Valid and accepted without modification		LPJGI0588406	Mallee Cliffs	-34.270823000	142.684951000	54	655114	6206530	100.0000	Weight: 10g.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295859	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					21/03/2017 10:20:00	21/03/2017 10:20:00	1		4	T	Valid and accepted without modification		LPJGI0588450	Mallee Cliffs	-34.277824000	142.658911000	54	652704	6205793	100.0000	Weight: 8.5g.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295870	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588361	Mallee Cliffs	-34.189096000	142.426360000	54	631434	6215958	100.0000	Snout/Vent: 13mm.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295871	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588361	Mallee Cliffs	-34.189096000	142.426360000	54	631434	6215958	100.0000	Snout/Vent: 8mm.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295885	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588368	Mallee Cliffs	-34.156246000	142.464917000	54	635039	6219550	100.0000	Weight: 8g.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295894	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588368	Mallee Cliffs	-34.156246000	142.464917000	54	635039	6219550	100.0000		Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295895	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588369	Mallee Cliffs	-34.170259000	142.446452000	54	633315	6218021	100.0000	Weight: 15g.	Standard Site	
AWC-NSW Parks Partnership Projects	SPJGI6295896	1412	Fauna	Mammalia	Muridae	4048	Mus musculus	*	House Mouse					22/03/2017	22/03/2017	1		4	T	Valid and accepted without modification		LPJGI0588369	Mallee Cliffs	-34.170259000	142.446452000	54	633315	6218021	100.0000	Weight: 12g.	Standard Site	
